"","Type","Name","Active_Cases","Cumulative_Faculty_Staff_Cases","Cumulative_Student_Cases","Cumulative_Total","Date"
"628","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",47,34,183,248,2021-09-30
"629","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",43,16,190,268,2021-09-30
"630","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",40,26,189,248,2021-09-30
"631","PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",40,24,193,243,2021-09-30
"632","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",35,57,349,470,2021-09-30
"633","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",35,28,261,316,2021-09-30
"634","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",34,24,203,283,2021-09-30
"635","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",30,20,223,297,2021-09-30
"636","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",27,31,277,362,2021-09-30
"637","PUBLIC SCHOOL DISTRICT","DREW CENTRAL SCHOOL DIST",24,7,47,65,2021-09-30
"638","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",23,26,245,342,2021-09-30
"639","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",23,14,99,143,2021-09-30
"640","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",23,31,174,248,2021-09-30
"641","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",23,27,146,207,2021-09-30
"642","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",22,14,100,121,2021-09-30
"643","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",22,15,65,89,2021-09-30
"644","PUBLIC SCHOOL DISTRICT","PANGBURN SCHOOL DIST",22,12,49,66,2021-09-30
"645","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",22,5,72,91,2021-09-30
"646","PUBLIC SCHOOL DISTRICT","RIVERCREST SCHOOL DIST",21,13,76,105,2021-09-30
"647","PUBLIC SCHOOL DISTRICT","CAVE CITY SCHOOL DIST",20,6,50,64,2021-09-30
"648","PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",20,29,203,298,2021-09-30
"649","PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",20,19,108,151,2021-09-30
"650","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",20,12,88,124,2021-09-30
"651","PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",19,15,120,161,2021-09-30
"652","PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",19,7,68,96,2021-09-30
"653","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",18,18,116,150,2021-09-30
"654","PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",17,23,153,178,2021-09-30
"655","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",17,13,92,132,2021-09-30
"656","PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",17,11,94,117,2021-09-30
"657","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",17,23,79,112,2021-09-30
"658","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",16,6,72,86,2021-09-30
"659","PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",16,16,111,138,2021-09-30
"660","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",16,20,115,158,2021-09-30
"661","PUBLIC SCHOOL DISTRICT","PALESTINE",16,NA,NA,43,2021-09-30
"662","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",16,21,135,188,2021-09-30
"663","PUBLIC SCHOOL DISTRICT","CLINTON SCHOOL DIST",15,7,36,46,2021-09-30
"664","PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",15,11,56,82,2021-09-30
"665","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",15,10,86,119,2021-09-30
"666","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",15,9,52,68,2021-09-30
"667","PUBLIC SCHOOL DISTRICT","SHERIDAN SCHOOL DIST",15,20,158,213,2021-09-30
"668","PUBLIC SCHOOL DISTRICT","VALLEY VIEW SCHOOL DIST",15,5,51,67,2021-09-30
"669","PUBLIC SCHOOL DISTRICT","ARKADELPHIA SCHOOL DIST",14,NA,NA,57,2021-09-30
"670","PUBLIC SCHOOL DISTRICT","DARDANELLE SCHOOL DIST",14,9,78,97,2021-09-30
"671","PUBLIC SCHOOL DISTRICT","GURDON SCHOOL DIST",13,NA,NA,49,2021-09-30
"672","PUBLIC SCHOOL DISTRICT","MANSFIELD SCHOOL DIST",13,12,49,69,2021-09-30
"673","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",12,13,86,120,2021-09-30
"674","PUBLIC SCHOOL DISTRICT","FORREST CITY SCHOOL DIST",12,8,74,97,2021-09-30
"675","PUBLIC SCHOOL DISTRICT","HORATIO SCHOOL DIST",12,8,55,68,2021-09-30
"676","PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(CHICOT)",12,NA,NA,53,2021-09-30
"677","PUBLIC SCHOOL DISTRICT","MCGEHEE SCHOOL DIST",12,NA,NA,61,2021-09-30
"678","PUBLIC SCHOOL DISTRICT","BROOKLAND SCHOOL DIST",11,6,137,175,2021-09-30
"679","PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",11,12,64,86,2021-09-30
"680","PUBLIC SCHOOL DISTRICT","HEBER SPRINGS SCHOOL DIST",11,14,77,114,2021-09-30
"681","PUBLIC SCHOOL DISTRICT","LISA ACADEMY",11,17,75,112,2021-09-30
"682","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",11,15,150,182,2021-09-30
"683","PUBLIC SCHOOL DISTRICT","WHITE HALL SCHOOL DIST",11,8,47,65,2021-09-30
"684","PUBLIC SCHOOL DISTRICT","BUFFALO IS. CENTRAL SCH. DIST",10,NA,NA,40,2021-09-30
"685","PUBLIC SCHOOL DISTRICT","MELBOURNE SCHOOL DIST",10,NA,NA,20,2021-09-30
"686","PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",10,NA,NA,87,2021-09-30
"687","PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",10,14,73,94,2021-09-30
"688","PUBLIC SCHOOL DISTRICT","RIVERVIEW SCHOOL DIST",10,7,32,43,2021-09-30
"689","PUBLIC SCHOOL DISTRICT","SOUTH PIKE COUNTY SCHOOL DIST",10,7,56,72,2021-09-30
"690","PUBLIC SCHOOL DISTRICT","STUTTGART SCHOOL DIST",10,12,91,127,2021-09-30
"691","PUBLIC SCHOOL DISTRICT","BAUXITE SCHOOL DIST",9,8,35,53,2021-09-30
"692","PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",9,21,109,150,2021-09-30
"693","PUBLIC SCHOOL DISTRICT","GRAVETTE SCHOOL DIST",9,11,80,104,2021-09-30
"694","PUBLIC SCHOOL DISTRICT","PIGGOTT SCHOOL DIST",9,NA,NA,64,2021-09-30
"695","PUBLIC SCHOOL DISTRICT","POYEN SCHOOL DIST",9,NA,NA,23,2021-09-30
"696","PUBLIC SCHOOL DISTRICT","PRESCOTT SCHOOL DIST",9,NA,NA,51,2021-09-30
"697","PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",9,8,91,112,2021-09-30
"698","PUBLIC SCHOOL DISTRICT","TWO RIVERS SCHOOL DIST",9,6,37,52,2021-09-30
"699","PUBLIC SCHOOL DISTRICT","CLEVELAND COUNTY SCHOOL DIST",8,NA,NA,22,2021-09-30
"700","PUBLIC SCHOOL DISTRICT","DIERKS SCHOOL DIST",8,NA,NA,16,2021-09-30
"701","PUBLIC SCHOOL DISTRICT","LONOKE SCHOOL DIST",8,6,37,50,2021-09-30
"702","PUBLIC SCHOOL DISTRICT","MAGNOLIA SCHOOL DIST",8,9,83,102,2021-09-30
"703","PUBLIC SCHOOL DISTRICT","WALDRON SCHOOL DIST",8,16,98,147,2021-09-30
"704","PUBLIC SCHOOL DISTRICT","CHARLESTON SCHOOL DIST",7,5,19,31,2021-09-30
"705","PUBLIC SCHOOL DISTRICT","COSSATOT RIVER SCHOOL DIST",7,11,47,66,2021-09-30
"706","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",7,6,99,119,2021-09-30
"707","PUBLIC SCHOOL DISTRICT","FOREMAN SCHOOL DIST",7,6,46,55,2021-09-30
"708","PUBLIC SCHOOL DISTRICT","FOUKE SCHOOL DIST",7,11,35,49,2021-09-30
"709","PUBLIC SCHOOL DISTRICT","HACKETT SCHOOL DIST",7,5,27,36,2021-09-30
"710","PUBLIC SCHOOL DISTRICT","HARRISBURG SCHOOL DIST",7,14,69,104,2021-09-30
"711","PUBLIC SCHOOL DISTRICT","HARRISON SCHOOL DIST",7,9,43,62,2021-09-30
"712","PUBLIC SCHOOL DISTRICT","HILLCREST SCHOOL DIST",7,NA,NA,21,2021-09-30
"713","PUBLIC SCHOOL DISTRICT","HOPE SCHOOL DIST",7,9,34,50,2021-09-30
"714","PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",7,10,70,85,2021-09-30
"715","PUBLIC SCHOOL DISTRICT","TEXARKANA SCHOOL DIST",7,8,62,72,2021-09-30
"716","PUBLIC SCHOOL DISTRICT","WESTSIDE CONS. SCH DIST(CRAIGHEAD)",7,17,79,111,2021-09-30
"717","PUBLIC SCHOOL DISTRICT","BARTON",6,5,73,95,2021-09-30
"718","PUBLIC SCHOOL DISTRICT","BLEVINS SCHOOL DIST",6,NA,NA,24,2021-09-30
"719","PUBLIC SCHOOL DISTRICT","EMERSON",6,5,39,48,2021-09-30
"720","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",6,5,83,106,2021-09-30
"721","PUBLIC SCHOOL DISTRICT","GENOA CENTRAL SCHOOL DIST",6,8,40,53,2021-09-30
"722","PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(GARLAND)",6,6,62,78,2021-09-30
"723","PUBLIC SCHOOL DISTRICT","LAVACA SCHOOL DIST",6,6,36,47,2021-09-30
"724","PUBLIC SCHOOL DISTRICT","MANILA SCHOOL DIST",6,7,65,88,2021-09-30
"725","PUBLIC SCHOOL DISTRICT","OZARK SCHOOL DIST",6,6,54,66,2021-09-30
"726","PUBLIC SCHOOL DISTRICT","PINE BLUFF SCHOOL DIST",6,9,40,51,2021-09-30
"727","PUBLIC SCHOOL DISTRICT","RIVERSIDE SCHOOL DIST",6,NA,NA,30,2021-09-30
"728","PUBLIC SCHOOL DISTRICT","SPRING HILL SCHOOL DIST",6,5,43,49,2021-09-30
"729","PUBLIC SCHOOL DISTRICT","ARKANSAS ARTS ACADEMY",5,NA,NA,33,2021-09-30
"730","PUBLIC SCHOOL DISTRICT","ARMOREL SCHOOL DIST",5,NA,NA,30,2021-09-30
"731","PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",5,10,65,103,2021-09-30
"732","PUBLIC SCHOOL DISTRICT","BERRYVILLE SCHOOL DIST",5,16,52,80,2021-09-30
"733","PUBLIC SCHOOL DISTRICT","BLYTHEVILLE SCHOOL DIST",5,11,45,65,2021-09-30
"734","PUBLIC SCHOOL DISTRICT","CALICO ROCK SCHOOL DIST",5,NA,NA,17,2021-09-30
"735","PUBLIC SCHOOL DISTRICT","CENTERPOINT SCHOOL DIST",5,7,52,63,2021-09-30
"736","PUBLIC SCHOOL DISTRICT","CROSSETT SCHOOL DIST",5,NA,NA,93,2021-09-30
"737","PUBLIC SCHOOL DISTRICT","DANVILLE SCHOOL DIST",5,5,29,41,2021-09-30
"738","PUBLIC SCHOOL DISTRICT","ESTEM PUBLIC CHARTER SCHOOL DIST",5,17,76,100,2021-09-30
"739","PUBLIC SCHOOL DISTRICT","GREENLAND SCHOOL DIST",5,8,47,60,2021-09-30
"740","PUBLIC SCHOOL DISTRICT","LAMAR SCHOOL DIST",5,11,63,87,2021-09-30
"741","PUBLIC SCHOOL DISTRICT","MARKED TREE SCHOOL DIST",5,NA,NA,36,2021-09-30
"742","PUBLIC SCHOOL DISTRICT","MIDLAND SCHOOL DIST",5,8,30,42,2021-09-30
"743","PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",5,16,92,119,2021-09-30
"744","PUBLIC SCHOOL DISTRICT","NEVADA SCHOOL DIST",5,NA,NA,55,2021-09-30
"745","PUBLIC SCHOOL DISTRICT","PERRYVILLE SCHOOL DIST",5,NA,NA,20,2021-09-30
"746","PUBLIC SCHOOL DISTRICT","SCRANTON SCHOOL DIST",5,NA,NA,12,2021-09-30
"747","PRIVATE SCHOOL","SHILOH CHRISTIAN SCHOOLS, SPRINGDALE",7,NA,NA,15,2021-09-30
"748","PRIVATE SCHOOL","CENTRAL AR CHRISTIAN, NORTH LITTLE ROCK",6,0,9,9,2021-09-30
"749","PRIVATE SCHOOL","TRINITY CHRISTIAN SCHOOL, TEXARKANA",5,0,7,7,2021-09-30
"750","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",50,67,336,654,2021-09-30
"751","COLLEGE/UNIVERSITY","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",19,14,62,119,2021-09-30
"752","COLLEGE/UNIVERSITY","ARKANSAS STATE UNIVERSITY, JONESBORO",13,18,53,72,2021-09-30
"753","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",12,25,87,184,2021-09-30
"754","COLLEGE/UNIVERSITY","HARDING UNIVERSITY, SEARCY",10,9,73,187,2021-09-30
"755","COLLEGE/UNIVERSITY","BLACK RIVER TECHNICAL COLLEGE, POCAHONTAS",9,NA,NA,24,2021-09-30
"756","COLLEGE/UNIVERSITY","UACC AT MORRILTON",9,9,14,39,2021-09-30
"757","COLLEGE/UNIVERSITY","ASU - NEWPORT",7,NA,NA,27,2021-09-30
"758","COLLEGE/UNIVERSITY","JOHN BROWN UNIVERSITY, SILOAM SPRINGS",7,11,20,45,2021-09-30
"759","COLLEGE/UNIVERSITY","NATIONAL PARK COLLEGE, HOT SPRINGS",6,NA,NA,51,2021-09-30
"760","COLLEGE/UNIVERSITY","NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",6,5,38,84,2021-09-30
"761","COLLEGE/UNIVERSITY","SOUTH ARKANSAS COMMUNITY COLLEGE, EL DORADO",6,NA,NA,38,2021-09-30
"762","COLLEGE/UNIVERSITY","SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",6,6,61,86,2021-09-30
"763","COLLEGE/UNIVERSITY","U OF A, FORT SMITH",6,8,43,91,2021-09-30
"764","COLLEGE/UNIVERSITY","UA SYSTEM DIVISION OF AGRICULTURE, LITTLE ROCK",6,10,0,23,2021-09-30
"765","COLLEGE/UNIVERSITY","U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",5,32,15,129,2021-09-30
"766","COLLEGE/UNIVERSITY","U OF A, LITTLE ROCK",5,9,36,74,2021-09-30
"767","COLLEGE/UNIVERSITY","UACC AT HOPE-TEXARKANA, HOPE",5,NA,NA,24,2021-09-30
"768","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",78,99,493,729,2021-09-27
"769","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",70,81,358,522,2021-09-27
"770","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",66,60,324,477,2021-09-27
"771","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",50,32,390,544,2021-09-27
"772","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",50,26,177,234,2021-09-27
"773","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",48,29,176,236,2021-09-27
"774","PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",46,22,184,233,2021-09-27
"775","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",43,24,250,301,2021-09-27
"776","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",36,21,193,270,2021-09-27
"777","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",36,30,268,352,2021-09-27
"778","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",33,19,214,287,2021-09-27
"779","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",33,16,175,246,2021-09-27
"780","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",31,53,336,453,2021-09-27
"781","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",28,15,59,83,2021-09-27
"782","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",28,26,139,197,2021-09-27
"783","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",26,26,239,334,2021-09-27
"784","PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",25,28,199,293,2021-09-27
"785","PUBLIC SCHOOL DISTRICT","RIVERCREST SCHOOL DIST",25,13,72,101,2021-09-27
"786","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",22,NA,NA,78,2021-09-27
"787","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",22,12,85,120,2021-09-27
"788","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",21,14,90,110,2021-09-27
"789","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",21,12,85,124,2021-09-27
"790","PUBLIC SCHOOL DISTRICT","PANGBURN SCHOOL DIST",21,10,44,59,2021-09-27
"791","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",20,20,110,153,2021-09-27
"792","PUBLIC SCHOOL DISTRICT","DREW CENTRAL SCHOOL DIST",19,7,37,55,2021-09-27
"793","PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",19,11,51,76,2021-09-27
"794","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",19,14,90,133,2021-09-27
"795","PUBLIC SCHOOL DISTRICT","HEBER SPRINGS SCHOOL DIST",19,14,76,113,2021-09-27
"796","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",19,9,82,112,2021-09-27
"797","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",19,28,165,234,2021-09-27
"798","PUBLIC SCHOOL DISTRICT","CAVE CITY SCHOOL DIST",18,6,44,59,2021-09-27
"799","PUBLIC SCHOOL DISTRICT","DARDANELLE SCHOOL DIST",18,9,73,91,2021-09-27
"800","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",18,21,129,181,2021-09-27
"801","PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",17,23,149,174,2021-09-27
"802","PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",17,16,103,144,2021-09-27
"803","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",17,15,148,180,2021-09-27
"804","PUBLIC SCHOOL DISTRICT","LISA ACADEMY",16,17,72,109,2021-09-27
"805","PUBLIC SCHOOL DISTRICT","SHERIDAN SCHOOL DIST",16,19,155,207,2021-09-27
"806","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",15,21,73,104,2021-09-27
"807","PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",14,21,106,146,2021-09-27
"808","PUBLIC SCHOOL DISTRICT","GURDON SCHOOL DIST",14,NA,NA,46,2021-09-27
"809","PUBLIC SCHOOL DISTRICT","PALESTINE",14,NA,NA,35,2021-09-27
"810","PUBLIC SCHOOL DISTRICT","PRESCOTT SCHOOL DIST",14,NA,NA,48,2021-09-27
"811","PUBLIC SCHOOL DISTRICT","BROOKLAND SCHOOL DIST",13,6,135,171,2021-09-27
"812","PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",13,15,105,131,2021-09-27
"813","PUBLIC SCHOOL DISTRICT","SOUTH PIKE COUNTY SCHOOL DIST",13,7,53,69,2021-09-27
"814","PUBLIC SCHOOL DISTRICT","VALLEY VIEW SCHOOL DIST",13,NA,NA,61,2021-09-27
"815","PUBLIC SCHOOL DISTRICT","WESTSIDE CONS. SCH DIST(CRAIGHEAD)",13,16,77,107,2021-09-27
"816","PUBLIC SCHOOL DISTRICT","CLINTON SCHOOL DIST",12,5,32,40,2021-09-27
"817","PUBLIC SCHOOL DISTRICT","FORREST CITY SCHOOL DIST",12,6,70,90,2021-09-27
"818","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",12,7,50,64,2021-09-27
"819","PUBLIC SCHOOL DISTRICT","GRAVETTE SCHOOL DIST",11,11,79,103,2021-09-27
"820","PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(CHICOT)",11,NA,NA,48,2021-09-27
"821","PUBLIC SCHOOL DISTRICT","MANILA SCHOOL DIST",11,7,65,86,2021-09-27
"822","PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",11,10,70,87,2021-09-27
"823","PUBLIC SCHOOL DISTRICT","PIGGOTT SCHOOL DIST",11,NA,NA,64,2021-09-27
"824","PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",11,12,110,148,2021-09-27
"825","PUBLIC SCHOOL DISTRICT","WALDRON SCHOOL DIST",11,15,91,139,2021-09-27
"826","PUBLIC SCHOOL DISTRICT","WHITE HALL SCHOOL DIST",11,8,45,63,2021-09-27
"827","PUBLIC SCHOOL DISTRICT","ARKADELPHIA SCHOOL DIST",10,NA,NA,52,2021-09-27
"828","PUBLIC SCHOOL DISTRICT","LONOKE SCHOOL DIST",10,6,36,48,2021-09-27
"829","PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",10,7,86,106,2021-09-27
"830","PUBLIC SCHOOL DISTRICT","STUTTGART SCHOOL DIST",10,11,88,123,2021-09-27
"831","PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",10,5,63,88,2021-09-27
"832","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",9,12,82,114,2021-09-27
"833","PUBLIC SCHOOL DISTRICT","BAUXITE SCHOOL DIST",9,7,34,50,2021-09-27
"834","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",9,5,64,77,2021-09-27
"835","PUBLIC SCHOOL DISTRICT","DANVILLE SCHOOL DIST",9,5,29,41,2021-09-27
"836","PUBLIC SCHOOL DISTRICT","ESTEM PUBLIC CHARTER SCHOOL DIST",9,17,75,99,2021-09-27
"837","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",9,18,107,137,2021-09-27
"838","PUBLIC SCHOOL DISTRICT","HOPE SCHOOL DIST",9,8,29,44,2021-09-27
"839","PUBLIC SCHOOL DISTRICT","HORATIO SCHOOL DIST",9,8,51,63,2021-09-27
"840","PUBLIC SCHOOL DISTRICT","MAGNOLIA SCHOOL DIST",9,9,82,100,2021-09-27
"841","PUBLIC SCHOOL DISTRICT","POYEN SCHOOL DIST",9,NA,NA,22,2021-09-27
"842","PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",9,10,86,108,2021-09-27
"843","PUBLIC SCHOOL DISTRICT","BERRYVILLE SCHOOL DIST",8,16,50,78,2021-09-27
"844","PUBLIC SCHOOL DISTRICT","FOUKE SCHOOL DIST",8,11,34,48,2021-09-27
"845","PUBLIC SCHOOL DISTRICT","MANSFIELD SCHOOL DIST",8,11,43,62,2021-09-27
"846","PUBLIC SCHOOL DISTRICT","MAYNARD SCHOOL DIST",8,0,17,21,2021-09-27
"847","PUBLIC SCHOOL DISTRICT","MCGEHEE SCHOOL DIST",8,NA,NA,53,2021-09-27
"848","PUBLIC SCHOOL DISTRICT","MENA SCHOOL DIST",8,19,74,108,2021-09-27
"849","PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",8,NA,NA,80,2021-09-27
"850","PUBLIC SCHOOL DISTRICT","OZARK SCHOOL DIST",8,6,54,66,2021-09-27
"851","PUBLIC SCHOOL DISTRICT","RIVERVIEW SCHOOL DIST",8,7,28,39,2021-09-27
"852","PUBLIC SCHOOL DISTRICT","SPRING HILL SCHOOL DIST",8,5,42,48,2021-09-27
"853","PUBLIC SCHOOL DISTRICT","TEXARKANA SCHOOL DIST",8,7,61,70,2021-09-27
"854","PUBLIC SCHOOL DISTRICT","TWO RIVERS SCHOOL DIST",8,NA,NA,48,2021-09-27
"855","PUBLIC SCHOOL DISTRICT","ARMOREL SCHOOL DIST",7,NA,NA,30,2021-09-27
"856","PUBLIC SCHOOL DISTRICT","CALICO ROCK SCHOOL DIST",7,NA,NA,17,2021-09-27
"857","PUBLIC SCHOOL DISTRICT","COSSATOT RIVER SCHOOL DIST",7,10,44,62,2021-09-27
"858","PUBLIC SCHOOL DISTRICT","HILLCREST SCHOOL DIST",7,NA,NA,19,2021-09-27
"859","PUBLIC SCHOOL DISTRICT","LAMAR SCHOOL DIST",7,11,63,87,2021-09-27
"860","PUBLIC SCHOOL DISTRICT","MARKED TREE SCHOOL DIST",7,NA,NA,35,2021-09-27
"861","PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",7,10,66,80,2021-09-27
"862","PUBLIC SCHOOL DISTRICT","AUGUSTA SCHOOL DIST",6,NA,NA,28,2021-09-27
"863","PUBLIC SCHOOL DISTRICT","BLYTHEVILLE SCHOOL DIST",6,11,45,64,2021-09-27
"864","PUBLIC SCHOOL DISTRICT","CARLISLE SCHOOL DIST",6,8,21,36,2021-09-27
"865","PUBLIC SCHOOL DISTRICT","CROSSETT SCHOOL DIST",6,NA,NA,91,2021-09-27
"866","PUBLIC SCHOOL DISTRICT","EMERSON",6,5,37,46,2021-09-27
"867","PUBLIC SCHOOL DISTRICT","FOREMAN SCHOOL DIST",6,6,42,51,2021-09-27
"868","PUBLIC SCHOOL DISTRICT","GENOA CENTRAL SCHOOL DIST",6,8,38,51,2021-09-27
"869","PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",6,10,61,80,2021-09-27
"870","PUBLIC SCHOOL DISTRICT","HARRISBURG SCHOOL DIST",6,14,67,102,2021-09-27
"871","PUBLIC SCHOOL DISTRICT","HARRISON SCHOOL DIST",6,8,41,59,2021-09-27
"872","PUBLIC SCHOOL DISTRICT","HOXIE SCHOOL DIST",6,NA,NA,53,2021-09-27
"873","PUBLIC SCHOOL DISTRICT","MIDLAND SCHOOL DIST",6,7,28,39,2021-09-27
"874","PUBLIC SCHOOL DISTRICT","RIVERSIDE SCHOOL DIST",6,NA,NA,28,2021-09-27
"875","PUBLIC SCHOOL DISTRICT","YELLVILLE",6,NA,NA,33,2021-09-27
"876","PUBLIC SCHOOL DISTRICT","ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",5,NA,NA,53,2021-09-27
"877","PUBLIC SCHOOL DISTRICT","ARKANSAS ARTS ACADEMY",5,NA,NA,32,2021-09-27
"878","PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",5,7,64,99,2021-09-27
"879","PUBLIC SCHOOL DISTRICT","BARTON",5,5,72,93,2021-09-27
